item_name,unit_price
無◇とく盛飯,0
無◇大盛り飯,0
◎ざるそば,0
グラスの数,0
しょうゆ皿の数,0
◎温そば,0
◇半ライス,0
モバイル宴オーダ,0
お好みコース,0
宴生ビール中,0
お冷Ｇ,0
宴梅酒,0
炭酸,0
宴トマトハイ,0
宴会瓶ビール大,0
たれ,0
宴ビアブラウン中,0
宴ヴェルＧ,0
宴カシスウー,0
宴レモンサワ,0
宴ホワハイボ,0
宴飫肥杉Ｇ,0
お湯,0
宴会梅干し,0
■マヨネーズ,30
単◇ミニ奴,30
■追加　卵,50
◇お替り味噌汁５,50
付）レモン,55
単◇オクラおかか,60
単◇卵,60
生卵,66
付）梅干し,77
焼酎ダブル２０,88
クポ焼き餃子,99
◇アイスコーヒー,100
単◇納豆,100
◇ウーロン茶,100
特盛りごはん,100
◇磯吉セット,100
◇エスプレッソ,100
◇追大根おろ,100
◇お替飯１０,100
◇ホットコーヒー,100
夜味噌汁,110
付）炭酸水,110
ホワイ濃１０,132
ざる蕎麦大盛,150
単◇明太おろし,150
１２年濃１０,154
〆のちゃんぽん,165
付）氷,165
付）ミネラル水,165
付）お湯,165
ブレ濃イメ,176
ＳＬあいすこーひ,180
◇単品明太子,200
単◇３点セット,200
ＦＤ延長,500
餃子⑤鶏唐④定食,850
チキン南蛮定食,890
唐揚丼そばＳ,900
ねぎ丼＆そばＳ,950
◇ほっけ２種,990
◇さんま大塩焼き,990
◇日替さんま,1000
◇日ほっけ,1000
◇日赤魚煮付,1000
◇日赤魚昆布定食,1000
◇日ほっけ鶏,1000
◇日いわし明,1000
◇日替鮭定食,1000
◇赤魚西京焼定食,1050
◇サバ塩焼き,1090
◇ハラス,1090
鮮魚の海鮮漬け丼,1090
◇生姜焼き,1100
◇マグロ煮付け,1100
◇ほっけ一夜,1100
◇鰻蒲焼（半身）,1100
◇銀鮭,1150
肉豆腐唐揚げ定食,1190
◇湊や３種,1190
サイコロＳ定食,1290
サイコロ鶏唐定食,1390
◇さば味噌煮,1400
いくらトロおひつ,1490
◇金目鯛煮付け,1500
◇鰻蒲焼（１尾）,1500
かにいくらおひつ,1590
銀鮭＆いくら定食,1690
ハラスいくら定食,1690
お好Ｂ無ＦＤ,1870
ＦＤ,1980
海鮮おひつご飯,2000
宴会桜コース,2020
お好みＦＤ,2200
プレミＦＤ,2480
お好みプレミＦＤ,2750
宴会藤コース,3020
宴会牡丹コース,4020
